PPS | CANDIDATO | NANCI MARI RAFAGNIN ANDREOLA | 20573615000114,0.00008783487044356610
PSC | CANDIDATO | ELIANE SCHMIDLIN REINHARDT | 20572712000192,0.00000000000000000000
PSDC | CANDIDATO | CELSO FELIPE DE ARAÚJO | 20580745000184,0.00000000000000000000
PSC | CANDIDATO | IVANETE PAULINO XAVIER RAIMUNDO | 20572791000131,0.00000000000000000000
PSDC | CANDIDATO | FABIA LISBÃO TEIXEIRA DA SILVA | 20576130000184,0.00000000000000000000
PMN | CANDIDATO | NABOR DUTRA DE PAULA | 20605109000160,0.00000000000000000000
PP | CANDIDATO | AUDELIR GABRIEL DOS SANTOS | 20571715000101,0.00000000000000000000
PV | CANDIDATO | ENI TEREZINHA DRABESKI TENORIO | 20571483000191,0.00000000000000000000
PV | CANDIDATO | KETLEEN ANDREIA ZANI | 20568835000150,0.00000000000000000000
PSC | CANDIDATO | IVONE FERREIRA DA SILVA | 20573453000114,0.00000000000000000000
PTC | CANDIDATO | MOISES GERALDO DOS SANTOS | 20581800000150,0.00000000000000000000
PTB | CANDIDATO | HELIO GARCIA VIEIRA | 20576325000124,0.00000000000000000000
PSDC | CANDIDATO | OLGA MARGOT MACEDO | 20581519000118,0.00000000000000000000
PSC | CANDIDATO | ALESSANDRA KLEIN AMARAL DE MOURA | 20569326000141,0.00000000000000000000
PV | CANDIDATO | FRANCIANI DRABESKI TENORIO | 20569308000160,0.00000000000000000000
PSC | CANDIDATO | DILAIR LEITE DA SILVA DE OLIVEIRA | 20572758000101,0.00000000000000000000
SD | CANDIDATO | PAULO ROBERTO DE CARVALHO | 20574318000193,0.00000000000000000000
PSDC | CANDIDATO | ALCIBIADES ALVES DE MOURA | 20579147000195,0.00000000000000000000
PSDC | CANDIDATO | JURACI MARLENE DE MOURA SANTOS | 20577793000113,0.00000000000000000000
PDT | CANDIDATO | NARDI TEREZINHA CASANOVA | 20660942000103,0.00000000000000000000
PSC | CANDIDATO | PATRICIA DA CRUZ ANDRADE | 20569598000141,0.00000000000000000000
PSDC | CANDIDATO | NILZA MIGUEL | 20581257000191,0.00000000000000000000
PV | CANDIDATO | MARIA LETICIA FAGUNDES | 20571476000190,0.00000000000000000000
PSC | CANDIDATO | MARIA ANGELA SILVEIRA BENATTI | 20573170000172,0.00000000000000000000
PSC | CANDIDATO | JULIANE CRISTINA DA SILVA | 20568874000157,0.00000000000000000000
SD | CANDIDATO | SIRLENE DA APARECIDA MENON | 20632384000172,0.00000000000000000000
PV | CANDIDATO | REGINA MARIA AGUERA BAZILICHE | 20569098000100,0.00000000000000000000
PSDC | CANDIDATO | ROSILIANE GABARDO | 20581207000104,0.00000000000000000000
PSC | CANDIDATO | ROSINÉIA DE LIMA FERREIRA | 20573001000132,0.00000000000000000000
PPS | CANDIDATO | FABIANO RIBEIRO OLIVEIRA | 20569186000101,0.00000000000000000000
PSB | CANDIDATO | MÁRIO SÉRGIO SIMIÃO | 20632277000144,0.00000000000000000000
PSC | CANDIDATO | ELAINE MARIA FERREIRA COSTA | 20961271000110,0.00000000000000000000
PP | CANDIDATO | LUIZ CARLOS DOBJANSKI | 20571293000174,0.00000000000000000000
PT | CANDIDATO | IVO AUGUSTO DE ABREU PUGNALONI | 20570506000143,0.00000000000000000000
PP | CANDIDATO | PATRICIA MARINA ANDRADE PAULIN | 20573660000179,0.00000000000000000000
PSDB | CANDIDATO | MARIA DE LOURDES TAMAGNINI | 20572553000126,0.00000000000000000000
PSB | CANDIDATO | ANA MARIA INÁCIO LUCIO | 20574271000168,0.00000000000000000000
PMN | CANDIDATO | MARIA DE JESUS DO ESPIRITO SANTO RIBEIRO | 20654624000130,0.00000000000000000000
PSC | CANDIDATO | IRENICE ALCANTARA FIGUEIREDO | 20571930000102,0.00000000000000000000
