PC do B | CANDIDATO | RICARDO CRACHINESKI GOMYDE | 20573064000199,666438,0.74210334535665611888
PT | CANDIDATO | GLEISI HELENA HOFFMANN | 20559538000148,881857,0.36827473371656432866
PRB | CANDIDATO | BERNARDINO BARRETO DE OLIVEIRA | 20574479000187,59152,0.19415671078134402738
PT | CANDIDATO | MARLEI FERNANDES DE CARVALHO | 20573224000108,29855,0.17328821418128437237
PT | CANDIDATO | PÉRICLES DE HOLLEBEN MELLO | 20580490000150,40966,0.16545214350985307239
PC do B | CANDIDATO | ALIEL MACHADO BARK | 20574068000191,82886,0.15180894689406801423
PT | CANDIDATO | JOSÉ RODRIGUES LEMOS | 20576621000125,42374,0.14415202142191377299
PT | CANDIDATO | ANTENOR GOMES DE LIMA | 20572703000100,43608,0.11754827268387367523
PC do B | CANDIDATO | NILTON APARECIDO BOBATO | 20579854000181,20678,0.10489543059424046023
PT | CANDIDATO | ENIO JOSÉ VERRI | 20571690000146,107508,0.10127382815063627752
PT | CANDIDATO | ANGELO CARLOS VANHONI | 20571507000102,65705,0.09799424298996459171
PT | CANDIDATO | JOSETE DUBIASKI DA SILVA | 20576738000109,6908,0.07580514617054751048
PTN | CANDIDATO | CHRISTIANE DE SOUZA YARED | 20572117000157,200144,0.07576228031725384948
PT | CANDIDATO | MARIA MICHELI MOCELIN | 20576091000115,6871,0.06707273158747029118
PT | CANDIDATO | JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA | 20569295000129,155583,0.06194237959899013407
PT | CANDIDATO | ANTONIO TADEU VENERI | 20609557000131,42206,0.05588122835649286801
PT | CANDIDATO | ANICE NAGIB GAZZAOUI | 20577015000124,13829,0.05571122444906902171
PT | CANDIDATO | ELTON CARLOS WELTER | 20576813000131,31482,0.05193011689564001887
PT | CANDIDATO | RODOLFO BRANDÃO DE PROENÇA JARUGA | 20576169000100,1153,0.04158752636437574451
PT | CANDIDATO | ARILSON MAROLDI CHIORATO | 20576090000170,27299,0.03780798565065660033
PT | CANDIDATO | SALETE BAGOLIN BEZ | 20576969000112,5328,0.03674376596874569245
PC do B | CANDIDATO | ANTONIO LUIZ MARTINS DOS REIS | 20576631000160,3671,0.03183756412739877778
PRB | CANDIDATO | EMANOEL EDSON DE OLIVEIRA GOMES | 20576243000180,6801,0.03045998113378366179
PT | CANDIDATO | ANTONIO WANDSCHEER | 20570574000102,71822,0.02719049832418433260
PT | CANDIDATO | LENIR CANDIDA DE ASSIS | 20576810000106,13425,0.02683433585854505532
PT | CANDIDATO | ALISSON ANTHONY WANDSCHEER | 20576027000134,34945,0.02599054182809719740
PT | CANDIDATO | MARCIA APARECIDA DE OLIVEIRA NEVES | 20576780000120,4838,0.02586907062418582898
PDT | CANDIDATO | MARCIO ARTUR DE MATOS | 20576793000107,20508,0.01829959401061725943
PT | CANDIDATO | LUCIANA GUZELLA RAFAGNIN | 20576746000155,27950,0.01605123449891153117
PT | CANDIDATO | DENILSON PESTANA DA COSTA | 20572981000159,23384,0.01542433339111365029
PT | CANDIDATO | ANTONIA PASSOS DE ARAUJO | 20637453000130,1485,0.01455787017438517524
PT | CANDIDATO | JOSÉ EGIDIO RODRIGUES | 20576541000170,304,0.01351913177170498484
PT | CANDIDATO | NADIR MACIEL | 20576842000101,4347,0.01272072988590880298
PT | CANDIDATO | ASSIS MIGUEL DO COUTO | 20571678000131,76116,0.01186402863382826113
PRB | CANDIDATO | EDSON DA SILVA PRACZYK | 20576247000168,47797,0.01178814428878564337
PTN | CANDIDATO | MAURÍCIO ROBERTO RIVABEM | 20576925000192,12744,0.01053533146505129629
PTN | CANDIDATO | LUIZ ANTONIO FERREIRA PEREIRA | 20576931000140,488,0.01032269149184764957
PT | CANDIDATO | MÁRIO SÉRGIO VERRI | 20579779000159,27505,0.01018294093945216160
