PSDB | CANDIDATO | EVANDRO BUQUERA DE FREITAS OLIVEIRA JUNIOR | 20569527000149,64467,0.02355148991304597747
PSC | CANDIDATO | LUIZ AUGUSTO SILVA | 20614126000163,45313,0.02061855219037524514
PDT | CANDIDATO | MARCIO ADRIANO PAULIKI | 20576946000108,62762,0.01876113020835277340
PSDB | CANDIDATO | PAULO HENRIQUE COLETTI FERNANDES | 20569792000127,60918,0.01875050669181350244
PSD | CANDIDATO | NEY LEPREVOST NETO | 20578031000131,71470,0.01873989519962798375
PMDB | CANDIDATO | NEREU ALVES DE MOURA | 20571566000180,48735,0.01550252566373719332
PSC | CANDIDATO | CARLOS ROBERTO MASSA JUNIOR | 20569317000150,300928,0.01450433412954123778
PMDB | CANDIDATO | ANTONIO ANNIBELLI NETO | 20573065000133,49349,0.01431002368960356333
PMDB | CANDIDATO | REINHOLD STEPHANES JUNIOR | 20572360000175,39965,0.01394248202852321761
PT | CANDIDATO | PÉRICLES DE HOLLEBEN MELLO | 20580490000150,40966,0.01392070753308125020
PP | CANDIDATO | MARIA VICTORIA BORGHETTI BARROS | 20569894000142,44870,0.01306763804962219645
PROS | CANDIDATO | LEÔNIDAS EDSON KUZMA | 20573425000105,19154,0.01306248316281761156
PMDB | CANDIDATO | MAURICIO THADEU DE MELLO E SILVA | 20573480000197,50167,0.01285957080300685271
PSDB | CANDIDATO | MAURO RAFAEL MORAES E SILVA | 20570863000101,49925,0.01261943400066411862
PDT | CANDIDATO | MARLY PAULINO FAGUNDES | 20576749000199,34293,0.01212878072213110538
PMDB | CANDIDATO | ALEXANDRE MARANHÃO KHURY | 20569229000159,114797,0.01210727415639584886
DEM | CANDIDATO | ELIO LINO RUSCH | 20570726000177,54993,0.01201066188528931641
PP | CANDIDATO | JOSE ROBERTO ESPOSTI | 20573048000104,3765,0.01182621243490808785
PT | CANDIDATO | JOSÉ RODRIGUES LEMOS | 20576621000125,42374,0.01151690124844776536
PMDB | CANDIDATO | ADEMIR ANTONIO OSMAR BIER | 20569880000129,45699,0.01043270158088930276
PMDB | CANDIDATO | ROBERTO ROLIM DE MOURA JUNIOR | 20568996000143,1251,0.01042941569062760462
PV | CANDIDATO | ITAMIR VIOLA | 20572885000100,16380,0.01042941569062760462
PV | CANDIDATO | ODILON VOLKMANN | 20570787000134,1361,0.01042941569062760462
PP | CANDIDATO | JOSE CARLOS SCHIAVINATO | 20571109000196,61507,0.00982593318033906510
PT | CANDIDATO | TANIA FATIMA CALVI TAIT | 20576537000101,891,0.00836289236022423957
PT | CANDIDATO | ARILSON MAROLDI CHIORATO | 20576090000170,27299,0.00836289236022423957
PT | CANDIDATO | JOSETE DUBIASKI DA SILVA | 20576738000109,6908,0.00819695746039299060
PT | CANDIDATO | ALISSON ANTHONY WANDSCHEER | 20576027000134,34945,0.00818540973915270892
PT | CANDIDATO | ANICE NAGIB GAZZAOUI | 20577015000124,13829,0.00815859117225634957
PPS | CANDIDATO | ALDAIR TARCISIO RIZZI | 20570515000134,5010,0.00741123429224320538
PSDC | CANDIDATO | JOSÉ CARLOS CHICARELLI | 20581731000185,8001,0.00122968818620992535
PSL | CANDIDATO | DIRCEU MOREIRA CARRIEL | 20573013000167,16842,0.00035133948177426435
PMDB | CANDIDATO | LUIZ CLAUDIO ROMANELLI | 20571112000100,60298,0.00027448397013614406
PSB | CANDIDATO | JOSÉ GILBERTO DO CARMO ALVES RIBEIRO | 20572131000150,76110,0.00026350461133069827
PT | CANDIDATO | ANTONIO TADEU VENERI | 20609557000131,42206,0.00019762845849802371
PSB | CANDIDATO | RUI KIYOSHI HARA | 20571237000130,19039,0.00017566974088713220
DEM | CANDIDATO | PLAUTO MIRÓ GUIMARÃES FILHO | 20572133000140,63959,0.00017566974088713220
PSOL | CANDIDATO | JOSE MAURO NONATO | 20559504000153,715,0.00017566974088713220
PSC | CANDIDATO | EVANDRO JOSE DA CRUZ ARAUJO | 20570327000106,23233,0.00015810276679841895
PTB | CANDIDATO | CARLOS ROBERTO FRISOLI | 20576768000115,9756,0.00013175230566534913
PSB | CANDIDATO | NILTON CAMARGO COSTA | 20569754000174,1819,0.00011711316059142147
PSDB | CANDIDATO | JOSÉ FRANCISCO BUHRER | 20571486000125,50757,0.00011711316059142147
PTB | CANDIDATO | JOSÉ DO CARMO GARCIA | 20576335000160,24261,0.00008783487044356610
PSOL | CANDIDATO | CARLOS GOMES DE MATTOS | 20559446000168,131,0.00008783487044356610
PSDC | CANDIDATO | AGENOR DA SILVA PEREIRA | 20577025000160,7746,0.00008783487044356610
PSOL | CANDIDATO | XÊNIA KAROLINE MELLO | 20559153000180,2399,0.00008783487044356610
SD | CANDIDATO | LUIS FELIPE BONATTO FRANCISCHINI | 20574098000106,35842,0.00008783487044356610
PTB | CANDIDATO | NELSI COGUETTO MARIA | 20576470000105,26263,0.00008783487044356610
PSB | CANDIDATO | WILSON LUIZ DARIENZO QUINTEIRO | 20573194000121,41195,0.00008783487044356610
PSC | CANDIDATO | ANTONIO BENEDITO FENELON | 20566874000118,22929,0.00008783487044356610
PT | CANDIDATO | MARCIA APARECIDA DE OLIVEIRA NEVES | 20576780000120,4838,0.00008783487044356610
PV | CANDIDATO | JOSE CLAUDIR AQUINO | 20569130000157,268,0.00000000000000000000
PT | CANDIDATO | VANDERLEY ZIGER | 20576935000128,28064,0.00000000000000000000
PSL | CANDIDATO | ZILTON MAXIMO DA SILVA | 20571768000122,250,0.00000000000000000000
DEM | CANDIDATO | SABINO PICOLO | 20570862000167,23296,0.00000000000000000000
PV | CANDIDATO | MAURO NEIVA | 20572631000192,222,0.00000000000000000000
PPS | CANDIDATO | SONIA BRUSCH | 20572118000100,1933,0.00000000000000000000
PMN | CANDIDATO | ROBISON RICARDO FURMAN | 20659701000144,2659,0.00000000000000000000
PV | CANDIDATO | AROLDO DE MEIRA | 20571608000183,573,0.00000000000000000000
PDT | CANDIDATO | JOAQUIM DONIZETI DO CARMO | 20576421000172,2742,0.00000000000000000000
PSC | CANDIDATO | LEONALDO PARANHOS DA SILVA | 20572143000185,69684,0.00000000000000000000
SD | CANDIDATO | KATYA MICHELLY CAETANO DA SILVA | 20633082000119,2026,0.00000000000000000000
PTN | CANDIDATO | ANTONIO NEGRÃO | 20576614000123,790,0.00000000000000000000
PSDC | CANDIDATO | APARECIDO HERNANDEZ DEL MAZO | 20622972000125,276,0.00000000000000000000
PV | CANDIDATO | ONORIO CESAR DE FREITAS | 20569041000100,482,0.00000000000000000000
PMDB | CANDIDATO | ELIANE REGINA DOS SANTOS BORGES DA SILVA | 20572589000100,1101,0.00000000000000000000
PSDC | CANDIDATO | PAULO DA ROSA | 20576921000104,233,0.00000000000000000000
PP | CANDIDATO | DAGMAR PIOLI GONÇALVES | 20572750000145,218,0.00000000000000000000
PSDB | CANDIDATO | FRANCISCO PUTON | 20570740000170,14400,0.00000000000000000000
PTN | CANDIDATO | SOLANGE DOS SANTOS VIEIRA | 20576792000154,0,0.00000000000000000000
PSC | CANDIDATO | JULIO HIDEO ANDO | 20564954000134,1782,0.00000000000000000000
PTC | CANDIDATO | ADRIANO FERREIRA PEDROSO | 20581248000109,382,0.00000000000000000000
PP | CANDIDATO | VANILDO FELIPE SOTERO | 20571925000108,4075,0.00000000000000000000
