PT | CANDIDATO | PÉRICLES DE HOLLEBEN MELLO | 20580490000150,40966,0.16545214350985312790
PT | CANDIDATO | JOSÉ RODRIGUES LEMOS | 20576621000125,42374,0.14415202142191380075
PT | CANDIDATO | JOSETE DUBIASKI DA SILVA | 20576738000109,6908,0.07580514617054752435
PT | CANDIDATO | MARIA MICHELI MOCELIN | 20576091000115,6871,0.06707273158747024955
PT | CANDIDATO | ANTONIO TADEU VENERI | 20609557000131,42206,0.05588122835649292353
PT | CANDIDATO | ANICE NAGIB GAZZAOUI | 20577015000124,13829,0.05571122444906898702
PT | CANDIDATO | ELTON CARLOS WELTER | 20576813000131,31482,0.05193011689564000499
PT | CANDIDATO | RODOLFO BRANDÃO DE PROENÇA JARUGA | 20576169000100,1153,0.04158752636437573758
PT | CANDIDATO | ARILSON MAROLDI CHIORATO | 20576090000170,27299,0.03780798565065658645
PT | CANDIDATO | SALETE BAGOLIN BEZ | 20576969000112,5328,0.03674376596874565776
PC do B | CANDIDATO | ANTONIO LUIZ MARTINS DOS REIS | 20576631000160,3671,0.03183756412739874309
PRB | CANDIDATO | EMANOEL EDSON DE OLIVEIRA GOMES | 20576243000180,6801,0.03045998113378364791
PT | CANDIDATO | LENIR CANDIDA DE ASSIS | 20576810000106,13425,0.02683433585854500675
PT | CANDIDATO | ALISSON ANTHONY WANDSCHEER | 20576027000134,34945,0.02599054182809719740
PT | CANDIDATO | MARCIA APARECIDA DE OLIVEIRA NEVES | 20576780000120,4838,0.02586907062418582551
PDT | CANDIDATO | MARCIO ARTUR DE MATOS | 20576793000107,20508,0.01829959401061726290
PT | CANDIDATO | LUCIANA GUZELLA RAFAGNIN | 20576746000155,27950,0.01605123449891152770
PT | CANDIDATO | JOSÉ EGIDIO RODRIGUES | 20576541000170,304,0.01351913177170497964
PT | CANDIDATO | NADIR MACIEL | 20576842000101,4347,0.01272072988590880645
PRB | CANDIDATO | EDSON DA SILVA PRACZYK | 20576247000168,47797,0.01178814428878562776
PTN | CANDIDATO | MAURÍCIO ROBERTO RIVABEM | 20576925000192,12744,0.01053533146505128935
PTN | CANDIDATO | LUIZ ANTONIO FERREIRA PEREIRA | 20576931000140,488,0.01032269149184763743
PT | CANDIDATO | MÁRIO SÉRGIO VERRI | 20579779000159,27505,0.01018294093945214772
PTN | CANDIDATO | EDY PETERSON GENIUS NUNES | 20576031000100,903,0.00953025306099275146
PT | CANDIDATO | HUMBERTO JOSÉ HENRIQUE | 20576677000180,17367,0.00846775732814234079
PT | CANDIDATO | PAULO CESAR TIRI GOMES | 20576317000188,2162,0.00742300696580159951
PT | CANDIDATO | ANATERRA VIANA | 20576170000126,1913,0.00623340119963505107
PDT | CANDIDATO | MARCIO ADRIANO PAULIKI | 20576946000108,62762,0.00595139706106721702
PTN | CANDIDATO | ADRIANA COCCI DE MORAES | 20604151000166,8081,0.00551019022746781790
PTN | CANDIDATO | ALEXANDRE FERREIRA DA SILVA | 20604094000115,1986,0.00518143152189777609
PTN | CANDIDATO | MARINHO CANDIDO | 20604123000149,156,0.00518143152189777609
PTN | CANDIDATO | FABIO ALEXANDRE SILVEIRA | 20604157000133,171,0.00518143152189777089
PTN | CANDIDATO | ALICIO MAFFRA FILHO | 20604126000182,505,0.00518143152189777089
PTN | CANDIDATO | ALGACIR COSTA PORTES | 20604125000138,0,0.00492610461115036442
PC do B | CANDIDATO | MARCO ANTONIO ABUJAMRA | 20576918000190,111,0.00482159012013754894
PTN | CANDIDATO | JEFFERSON ADRIANO VARELLA | 20576156000122,77,0.00471266876244017148
PT | CANDIDATO | JAQUELINE DE SOUZA SILVA | 20576223000109,529,0.00445757985149877484
PT | CANDIDATO | VANDERLEY ZIGER | 20576935000128,28064,0.00431098472482781703
PT | CANDIDATO | ANDRE LUIZ PIOLI BERNASCKI | 20576151000108,21003,0.00420279881759104933
PTN | CANDIDATO | JOÃO SEABLA DOS ANJOS | 20576285000110,1787,0.00419288039095815513
PDT | CANDIDATO | ELOIZIO ZANARDI | 20660926000110,258,0.00409185267971682535
PTN | CANDIDATO | WANDERLEI JEOVAI DA SILVA | 20576809000173,2975,0.00386564858021970492
PRB | CANDIDATO | ALGACIR MIKALOVSKI | 20576968000178,4398,0.00380158839709871053
PDT | CANDIDATO | ROSELI BANDEIRA DE ASSIS CAVALLI | 20577869000100,7358,0.00378391282080626189
PT | CANDIDATO | ROBERTO FERNANDES DA SILVA | 20576857000161,1359,0.00374237060031040823
PC do B | CANDIDATO | RAFAELA MASCARENHAS ROCHA | 20576204000182,211,0.00349482079406418684
PTN | CANDIDATO | OSCAR MOREIRA | 20605161000116,0,0.00346791671707175671
PTN | CANDIDATO | LUIZ CAMARA RAMOS | 20576692000128,94,0.00341625354783278452
PTN | CANDIDATO | SACHA BOUCHRA GEORGES ABOU SARHAL | 20576049000102,135,0.00341625354783278452
PTN | CANDIDATO | MARCOS MANOEL DA SILVA | 20579620000134,506,0.00341625354783278278
PTN | CANDIDATO | SIMONE ANTUNES SIMÕES | 20637451000141,157,0.00341625354783278278
PTN | CANDIDATO | SANDRA BERTIPAGLIA | 20604139000151,656,0.00341625354783278105
PTN | CANDIDATO | PAULO CESAR BUENO | 20579164000122,1000,0.00341625354783278018
PTN | CANDIDATO | ANDREIA CRISTINA DA SILVA ALVES | 20576166000168,148,0.00341625354783278018
PTN | CANDIDATO | ALCENI VIEIRA DOS SANTOS | 20576891000136,622,0.00341625354783277931
