PC do B | CANDIDATO | ALIEL MACHADO BARK | 20574068000191,82886,0.00499041562929857657
PSD | CANDIDATO | REINHOLD STEPHANES | 20563795000153,78064,0.00456164196272357183
PC do B | CANDIDATO | NILTON APARECIDO BOBATO | 20579854000181,20678,0.00317877513254701677
PSD | CANDIDATO | EVANDRO ROGÉRIO ROMAN | 20568400000105,92042,0.00243905337094863168
PPS | CANDIDATO | SANDRO ALEX CRUZ DE OLIVEIRA | 20568081000138,116909,0.00219135811042071513
PSB | CANDIDATO | LUCIANO DUCCI | 20570697000143,156263,0.00172541047987899389
PT | CANDIDATO | MARLEI FERNANDES DE CARVALHO | 20573224000108,29855,0.00150569213785321809
SD | CANDIDATO | FERNANDO DESTITO FRANCISCHINI | 20614399000108,159569,0.00147932007292207713
PMDB | CANDIDATO | JOÃO JOSÉ DE ARRUDA JUNIOR | 20569102000130,176370,0.00096184738398066025
PDT | CANDIDATO | JOSE BAKA FILHO | 20573943000110,0,0.00075740601344805568
PR | CANDIDATO | LUIZ HILOSHI NISHIMORI | 20564769000140,106852,0.00071998514893195447
PV | CANDIDATO | LEANDRE DAL PONTE | 20573236000124,81181,0.00061946576276375529
PP | CANDIDATO | MARCELO BELINATI MARTINS | 20573470000151,137817,0.00061578540144949137
PR | CANDIDATO | FERNANDO LUCIO GIACOBO | 20572951000142,144305,0.00054241736007142830
DEM | CANDIDATO | OSMAR STUART BERTOLDI | 20572846000103,81789,0.00045107958808346838
PP | CANDIDATO | RICARDO JOSÉ MAGALHÃES BARROS | 20571814000193,114396,0.00043896602987928719
PT | CANDIDATO | ENIO JOSÉ VERRI | 20571690000146,107508,0.00040879786900135825
PT | CANDIDATO | JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA | 20569295000129,155583,0.00038188570911843850
PT | CANDIDATO | DENILSON PESTANA DA COSTA | 20572981000159,23384,0.00033412588409685785
PP | CANDIDATO | NELSON MEURER | 20568839000138,106478,0.00030479872821527010
PT | CANDIDATO | ANTONIO WANDSCHEER | 20570574000102,71822,0.00030356422546834715
PSC | CANDIDATO | EDMAR DE SOUZA ARRUDA | 20571346000157,85155,0.00025520258035764161
PP | CANDIDATO | DILCEU JOÃO SPERAFICO | 20570190000190,151930,0.00024040397867890304
PMDB | CANDIDATO | RODRIGO SANTOS DA ROCHA LOURES | 20569971000164,58493,0.00021599940250067046
PMDB | CANDIDATO | OSMAR JOSE SERRAGLIO | 20569055000124,117048,0.00019016743252130828
PT | CANDIDATO | ANGELO CARLOS VANHONI | 20571507000102,65705,0.00016715938757553227
DEM | CANDIDATO | PEDRO PIZZATTO | 20569549000109,9076,0.00015352199004311809
PSC | CANDIDATO | HIDEKAZU TAKAYAMA | 20567222000106,162952,0.00013169829617017126
