PSDB | CANDIDATO | CARLOS ALBERTO RICHA | 20572328000190,3301322,0.02842351486501514327
PSDB | CANDIDATO | EVANDRO BUQUERA DE FREITAS OLIVEIRA JUNIOR | 20569527000149,64467,0.02355148991304597747
PSC | CANDIDATO | LUIZ AUGUSTO SILVA | 20614126000163,45313,0.02061855219037524514
PT | CANDIDATO | GLEISI HELENA HOFFMANN | 20559538000148,881857,0.01947718500404222591
PMDB | CANDIDATO | JOÃO JOSÉ DE ARRUDA JUNIOR | 20569102000130,176370,0.01946701635375816877
PDT | CANDIDATO | MARCIO ADRIANO PAULIKI | 20576946000108,62762,0.01876113020835277340
PSDB | CANDIDATO | PAULO HENRIQUE COLETTI FERNANDES | 20569792000127,60918,0.01875050669181350244
PSD | CANDIDATO | NEY LEPREVOST NETO | 20578031000131,71470,0.01873989519962798375
PP | CANDIDATO | DILCEU JOÃO SPERAFICO | 20570190000190,151930,0.01829469326947107469
PP | CANDIDATO | NELSON MEURER | 20568839000138,106478,0.01797687015078319392
PDT | CANDIDATO | JOSE BAKA FILHO | 20573943000110,0,0.01786787827977759369
PR | CANDIDATO | FERNANDO LUCIO GIACOBO | 20572951000142,144305,0.01755747339222833714
PSDB | CANDIDATO | JACOB ALFREDO STOFFELS KAEFER | 20570932000187,82554,0.01726265823143558961
PR | CANDIDATO | LUIZ HILOSHI NISHIMORI | 20564769000140,106852,0.01710402624883401376
PP | CANDIDATO | RICARDO JOSÉ MAGALHÃES BARROS | 20571814000193,114396,0.01703363930953839811
PMDB | CANDIDATO | ROBERTO REQUIAO DE MELLO E SILVA | 20569641000179,1634316,0.01687736738926740379
PSC | CANDIDATO | EDMAR DE SOUZA ARRUDA | 20571346000157,85155,0.01686018066076509433
DEM | CANDIDATO | OSMAR STUART BERTOLDI | 20572846000103,81789,0.01646613367366615843
PMDB | CANDIDATO | NEREU ALVES DE MOURA | 20571566000180,48735,0.01550252566373719332
PSD | CANDIDATO | EVANDRO ROGÉRIO ROMAN | 20568400000105,92042,0.01549527132323006394
PSB | CANDIDATO | LUCIANO DUCCI | 20570697000143,156263,0.01540874584352845168
DEM | CANDIDATO | PEDRO PIZZATTO | 20569549000109,9076,0.01516875621518215533
PT | CANDIDATO | JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA | 20569295000129,155583,0.01514694709712164494
PP | CANDIDATO | MARCELO BELINATI MARTINS | 20573470000151,137817,0.01514101271958968702
PSDB | CANDIDATO | ALVARO FERNANDES DIAS | 20568775000175,4101848,0.01489581413303762633
PSC | CANDIDATO | CARLOS ROBERTO MASSA JUNIOR | 20569317000150,300928,0.01450433412954123778
PSD | CANDIDATO | PEDRO DOS SANTOS LIMA GUERRA | 20568881000159,32123,0.01409680494582488119
PMDB | CANDIDATO | OSMAR JOSE SERRAGLIO | 20569055000124,117048,0.01405896905354117078
PMDB | CANDIDATO | REINHOLD STEPHANES JUNIOR | 20572360000175,39965,0.01394248202852321761
PC do B | CANDIDATO | ALIEL MACHADO BARK | 20574068000191,82886,0.01392489269038799278
PT | CANDIDATO | PÉRICLES DE HOLLEBEN MELLO | 20580490000150,40966,0.01392070753308125020
PP | CANDIDATO | MARIA VICTORIA BORGHETTI BARROS | 20569894000142,44870,0.01306763804962219645
PROS | CANDIDATO | LEÔNIDAS EDSON KUZMA | 20573425000105,19154,0.01306248316281761156
PV | CANDIDATO | LEANDRE DAL PONTE | 20573236000124,81181,0.01292482233323288127
PMDB | CANDIDATO | MAURICIO THADEU DE MELLO E SILVA | 20573480000197,50167,0.01285957080300685271
PSD | CANDIDATO | REINHOLD STEPHANES | 20563795000153,78064,0.01284959053851092263
PSDB | CANDIDATO | MAURO RAFAEL MORAES E SILVA | 20570863000101,49925,0.01261943400066411862
PDT | CANDIDATO | MARLY PAULINO FAGUNDES | 20576749000199,34293,0.01212878072213110538
PMDB | CANDIDATO | ALEXANDRE MARANHÃO KHURY | 20569229000159,114797,0.01210727415639584886
PMDB | CANDIDATO | RODRIGO SANTOS DA ROCHA LOURES | 20569971000164,58493,0.01203685744011001417
DEM | CANDIDATO | ELIO LINO RUSCH | 20570726000177,54993,0.01201066188528931641
SD | CANDIDATO | FERNANDO DESTITO FRANCISCHINI | 20614399000108,159569,0.01198458010052212870
PP | CANDIDATO | JOSE ROBERTO ESPOSTI | 20573048000104,3765,0.01182621243490808785
PPS | CANDIDATO | SANDRO ALEX CRUZ DE OLIVEIRA | 20568081000138,116909,0.01174650401480760789
PT | CANDIDATO | JOSÉ RODRIGUES LEMOS | 20576621000125,42374,0.01151690124844776536
PT | CANDIDATO | ROSA MARIA DE JESUS COLOMBO | 20577703000194,29725,0.01142408366909323895
PT | CANDIDATO | ANGELO CARLOS VANHONI | 20571507000102,65705,0.01135724993732698668
PMDB | CANDIDATO | MARCELO BELTRAO DE ALMEIDA | 20572520000186,465263,0.01045576091498031171
PMDB | CANDIDATO | ADEMIR ANTONIO OSMAR BIER | 20569880000129,45699,0.01043270158088930276
PMDB | CANDIDATO | ROBERTO ROLIM DE MOURA JUNIOR | 20568996000143,1251,0.01042941569062760462
PV | CANDIDATO | ODILON VOLKMANN | 20570787000134,1361,0.01042941569062760462
PV | CANDIDATO | ITAMIR VIOLA | 20572885000100,16380,0.01042941569062760462
PP | CANDIDATO | JOSE CARLOS SCHIAVINATO | 20571109000196,61507,0.00982593318033906510
PT | CANDIDATO | ENIO JOSÉ VERRI | 20571690000146,107508,0.00982177530267121929
PT | CANDIDATO | MARLEI FERNANDES DE CARVALHO | 20573224000108,29855,0.00961966337722168323
PT | CANDIDATO | ANTONIO WANDSCHEER | 20570574000102,71822,0.00960376310717669067
PC do B | CANDIDATO | NILTON APARECIDO BOBATO | 20579854000181,20678,0.00956686610292299157
PPS | CANDIDATO | RUBENS BUENO | 20565467000196,95841,0.00858972628216411044
PT | CANDIDATO | ARILSON MAROLDI CHIORATO | 20576090000170,27299,0.00836289236022423957
PT | CANDIDATO | TANIA FATIMA CALVI TAIT | 20576537000101,891,0.00836289236022423957
PT | CANDIDATO | ALISSON ANTHONY WANDSCHEER | 20576027000134,34945,0.00818540973915270892
PC do B | CANDIDATO | RICARDO CRACHINESKI GOMYDE | 20573064000199,666438,0.00818068300600718543
PT | CANDIDATO | ANICE NAGIB GAZZAOUI | 20577015000124,13829,0.00815859117225634957
PPS | CANDIDATO | ALDAIR TARCISIO RIZZI | 20570515000134,5010,0.00741123429224320538
PSDC | CANDIDATO | JOSÉ CARLOS CHICARELLI | 20581731000185,8001,0.00122968818620992535
PSC | CANDIDATO | NELSON PADOVANI | 20569187000156,75519,0.00122968818620992535
PV | CANDIDATO | MARIO HITOSHI NETO TAKAHASHI | 20569239000194,12634,0.00070267896354852882
PRB | CANDIDATO | BERNARDINO BARRETO DE OLIVEIRA | 20574479000187,59152,0.00061484409310496267
PPL | CANDIDATO | CLAIR DA FLORA MARTINS | 20570449000100,3957,0.00052700922266139653
PRTB | CANDIDATO | GEONISIO CESAR MARINHO | 20571315000104,7303,0.00052700922266139653
PSDC | CANDIDATO | LUIZ ADÃO MARQUES | 20580679000142,14870,0.00035133948177426441
PSL | CANDIDATO | DIRCEU MOREIRA CARRIEL | 20573013000167,16842,0.00035133948177426435
PMDB | CANDIDATO | ANDRE ZACHAROW | 20570113000130,19268,0.00028107158541941155
PMDB | CANDIDATO | LUIZ CLAUDIO ROMANELLI | 20571112000100,60298,0.00027448397013614406
PSC | CANDIDATO | HIDEKAZU TAKAYAMA | 20567222000106,162952,0.00027448397013614406
PSB | CANDIDATO | JOSÉ GILBERTO DO CARMO ALVES RIBEIRO | 20572131000150,76110,0.00026350461133069827
PTB | CANDIDATO | EFRAIM BUENO DE MORAES | 20576678000124,24910,0.00026350461133069827
