PC do B | CANDIDATO | RICARDO CRACHINESKI GOMYDE | 20573064000199,666438,0.74218907902247033270
PT | CANDIDATO | GLEISI HELENA HOFFMANN | 20559538000148,881857,0.36831121941993089086
PRB | CANDIDATO | BERNARDINO BARRETO DE OLIVEIRA | 20574479000187,59152,0.19417852476396049721
PT | CANDIDATO | MARLEI FERNANDES DE CARVALHO | 20573224000108,29855,0.17330775747774596063
PT | CANDIDATO | PÉRICLES DE HOLLEBEN MELLO | 20580490000150,40966,0.16547078235350878850
PC do B | CANDIDATO | ALIEL MACHADO BARK | 20574068000191,82886,0.15182612539878115321
PT | CANDIDATO | JOSÉ RODRIGUES LEMOS | 20576621000125,42374,0.14415610379985957512
PT | CANDIDATO | ANTENOR GOMES DE LIMA | 20572703000100,43608,0.11756148010341911647
PC do B | CANDIDATO | NILTON APARECIDO BOBATO | 20579854000181,20678,0.10490872469172546344
PT | CANDIDATO | ENIO JOSÉ VERRI | 20571690000146,107508,0.10128521154177042018
PT | CANDIDATO | ANGELO CARLOS VANHONI | 20571507000102,65705,0.09800526532325705420
PTN | CANDIDATO | CHRISTIANE DE SOUZA YARED | 20572117000157,200144,0.07577090580413996246
PT | CANDIDATO | MARIA MICHELI MOCELIN | 20576091000115,6871,0.06708033769554061498
PT | CANDIDATO | JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA | 20569295000129,155583,0.06018465314903950064
PT | CANDIDATO | ANTONIO TADEU VENERI | 20609557000131,42206,0.05588746051549430688
PT | CANDIDATO | ANICE NAGIB GAZZAOUI | 20577015000124,13829,0.05571085717725265951
PT | CANDIDATO | ELTON CARLOS WELTER | 20576813000131,31482,0.05190471967000939713
PT | CANDIDATO | RODOLFO BRANDÃO DE PROENÇA JARUGA | 20576169000100,1153,0.04159228732911870313
PT | CANDIDATO | ARILSON MAROLDI CHIORATO | 20576090000170,27299,0.03780333323247047489
PT | CANDIDATO | SALETE BAGOLIN BEZ | 20576969000112,5328,0.03674799034530958769
PC do B | CANDIDATO | ANTONIO LUIZ MARTINS DOS REIS | 20576631000160,3671,0.03184123641019274975
PRB | CANDIDATO | EMANOEL EDSON DE OLIVEIRA GOMES | 20576243000180,6801,0.03046348263454521157
PT | CANDIDATO | ANTONIO WANDSCHEER | 20570574000102,71822,0.02719362004367295582
PT | CANDIDATO | LENIR CANDIDA DE ASSIS | 20576810000106,13425,0.02683793118696713512
PT | CANDIDATO | ALISSON ANTHONY WANDSCHEER | 20576027000134,34945,0.02599348508951979456
PDT | CANDIDATO | MARCIO ARTUR DE MATOS | 20576793000107,20508,0.01830165007574377153
PT | CANDIDATO | LUCIANA GUZELLA RAFAGNIN | 20576746000155,27950,0.01603146469437490701
PT | CANDIDATO | ANTONIA PASSOS DE ARAUJO | 20637453000130,1485,0.01455950578680175085
PT | CANDIDATO | JOSÉ EGIDIO RODRIGUES | 20576541000170,304,0.01352065067931456158
PT | CANDIDATO | NADIR MACIEL | 20576842000101,4347,0.01271037113709572001
PT | CANDIDATO | ASSIS MIGUEL DO COUTO | 20571678000131,76116,0.01186565378371756685
PRB | CANDIDATO | EDSON DA SILVA PRACZYK | 20576247000168,47797,0.01178959786026511497
PTN | CANDIDATO | MAURÍCIO ROBERTO RIVABEM | 20576925000192,12744,0.01053665125266877410
PTN | CANDIDATO | LUIZ ANTONIO FERREIRA PEREIRA | 20576931000140,488,0.01032398075856483417
PT | CANDIDATO | MÁRIO SÉRGIO VERRI | 20579779000159,27505,0.01017412383742081865
PTN | CANDIDATO | EDY PETERSON GENIUS NUNES | 20576031000100,903,0.00953136917852046364
PT | CANDIDATO | HUMBERTO JOSÉ HENRIQUE | 20576677000180,17367,0.00846877926028283441
PT | CANDIDATO | PAULO CESAR TIRI GOMES | 20576317000188,2162,0.00741094745294442088
PDT | CANDIDATO | PAOLA VALERIA PALU FIORIN | 20573957000134,999,0.00652051486157378696
PT | CANDIDATO | ANATERRA VIANA | 20576170000126,1913,0.00623410153754695284
PDT | CANDIDATO | MARCIO ADRIANO PAULIKI | 20576946000108,62762,0.00595206496375264276
PTN | CANDIDATO | ADRIANA COCCI DE MORAES | 20604151000166,8081,0.00551088247156639437
PTN | CANDIDATO | ALICIO MAFFRA FILHO | 20604126000182,505,0.00518208220930704063
PTN | CANDIDATO | MARINHO CANDIDO | 20604123000149,156,0.00518208220930703716
PTN | CANDIDATO | FABIO ALEXANDRE SILVEIRA | 20604157000133,171,0.00518208220930703716
PTN | CANDIDATO | ALEXANDRE FERREIRA DA SILVA | 20604094000115,1986,0.00518208220930703196
PTN | CANDIDATO | GERALDINO BATISTA DO NASCIMENTO | 20604108000109,1541,0.00517622684703741755
PTN | CANDIDATO | ALGACIR COSTA PORTES | 20604125000138,0,0.00492672349299910686
PC do B | CANDIDATO | MARCO ANTONIO ABUJAMRA | 20576918000190,111,0.00482215324842070071
PTN | CANDIDATO | JEFFERSON ADRIANO VARELLA | 20576156000122,77,0.00471319824233323251
PT | CANDIDATO | JAQUELINE DE SOUZA SILVA | 20576223000109,529,0.00444806558659904729
PDT | CANDIDATO | GISELE DA SILVA COSTA | 20569855000145,826,0.00439452100680975521
PT | CANDIDATO | VANDERLEY ZIGER | 20576935000128,28064,0.00430343213802552270
PT | CANDIDATO | ANDRE LUIZ PIOLI BERNASCKI | 20576151000108,21003,0.00420332736180909026
PTN | CANDIDATO | JOÃO SEABLA DOS ANJOS | 20576285000110,1787,0.00419339684145072621
PDT | CANDIDATO | PAULO ROBERTO COSTA DOS SANTOS | 20574236000149,224,0.00410325936271633152
